timestamp,user_id,steps_per_min,cumulative_steps,activity_level,calories_burned,heart_rate_bpm,hrv_ms,spo2_pct,skin_temp_c,sleep_stage,is_sleep_period,stress_score,heart_rate_bpm_raw,hrv_ms_raw,stress_score_raw,spo2_pct_raw,skin_temp_c_raw,calories_burned_raw
2024-01-01 00:00:00,user_001,0,0,sedentary,4.57,52.0,55.4,97.63333333333333,33.43666666666667,light,1,35.8,52,55.4,35.8,98.3,33.81,4.99
2024-01-01 00:01:00,user_001,0,0,sedentary,4.5125,50.2,54.98,97.475,33.557500000000005,deep,1,39.52,49,54.7,42.0,96.6,33.39,4.39
2024-01-01 00:02:00,user_001,0,0,sedentary,4.474,51.526315789473685,59.06315789473684,97.42,33.46,REM,1,36.62105263157894,53,63.6,33.4,98.0,33.11,4.33
2024-01-01 00:03:00,user_001,0,0,sedentary,4.16,53.8,62.85846153846154,97.26,33.294,light,1,34.3276923076923,57,68.2,31.1,97.0,33.92,4.34
2024-01-01 00:04:00,user_001,0,0,sedentary,4.138,51.57345971563981,62.72085308056872,97.42,33.294,light,1,37.695260663507106,48,62.5,43.1,97.2,33.07,4.32
2024-01-01 00:05:00,user_001,0,0,sedentary,4.032,50.26766917293233,63.80947368421053,97.06,33.346,REM,1,35.61413533834587,48,65.7,32.0,97.5,32.98,3.42
2024-01-01 00:06:00,user_001,0,0,sedentary,3.968,52.65128703254007,59.16799417192813,97.38,33.15,light,1,39.18508984944148,57,50.7,45.7,97.4,33.39,4.28
2024-01-01 00:07:00,user_001,0,0,sedentary,3.834,52.77224425059477,57.86099920697859,97.62,33.373999999999995,deep,1,46.127613005551154,53,55.4,59.2,96.2,33.37,3.8
2024-01-01 00:08:00,user_001,0,0,sedentary,3.88,50.79677638099213,62.28918679255125,97.6,33.518,awake,1,37.66494183923635,47,70.8,21.4,98.6,32.94,4.02
2024-01-01 00:09:00,user_001,0,0,sedentary,3.676,51.20492890995261,61.410893580353296,97.76,33.464,deep,1,40.153109866436886,52,59.7,45.0,98.4,34.19,3.65
2024-01-01 00:10:00,user_001,0,0,sedentary,3.8199999999999994,49.78689198681889,58.74308648250418,97.96,33.498000000000005,light,1,42.25976162056894,47,53.5,46.4,97.4,33.7,3.65
2024-01-01 00:11:00,user_001,0,0,sedentary,3.595999999999999,48.850712531644376,57.888806758383986,97.58,33.62,deep,1,44.25522077577298,47,56.2,48.2,98.2,33.12,3.26
2024-01-01 00:12:00,user_001,0,0,sedentary,3.444,49.57084187876033,60.30495255436026,97.4,33.624,light,1,42.22638924527672,51,65.1,38.2,97.2,33.54,4.52
2024-01-01 00:13:00,user_001,0,0,sedentary,3.3979999999999997,46.36959542313837,63.313607813560445,97.24,33.513999999999996,REM,1,38.5048447263607,40,69.3,31.1,96.7,33.55,2.9
2024-01-01 00:14:00,user_001,0,0,sedentary,3.26,44.57563348609566,58.63171336210134,97.2,33.64,light,1,43.347622400145745,41,49.3,53.0,97.5,34.21,2.89
